transaction_id,transaction_time,transaction_amount,customer_id,merchant_id,transaction_type,location,device_type,is_international,previous_fraud_count,avg_transaction_amount,fraud
391704,76552,142.31753625468366,1828,2890,online,Chennai,mobile,0,2,917.6843470969123,0
262998,30355,10346.81,1278,2288,ATM,Dubai,mobile,1,4,3837.0495310025894,1
774079,13545,3494.1497091159376,1469,2146,POS,Delhi,mobile,0,1,907.2429025527584,0
835911,8110,3569.09,1959,2699,ATM,Bangalore,mobile,0,1,1998.9896726764541,0
697347,36208,3402.43,1252,2592,ATM,Delhi,mobile,1,1,803.3259969145,0
380746,21976,1596.84,1067,2216,ATM,Delhi,card_swipe,0,1,854.5960129925613,0
156802,58335,6818.950264351595,1689,2669,ATM,Chennai,mobile,1,1,2257.271480986369,0
678856,12185,4826.62,1300,2849,ATM,Kolkata,card_swipe,0,1,889.362301263305,0
961722,69163,2088.38,1032,2824,POS,Chennai,desktop,0,1,878.2880130654002,0
719176,83104,1528.17,1432,2032,online,Delhi,mobile,1,1,1205.437687304293,0
391476,52256,327.16,1464,2650,POS,Bangalore,mobile,0,2,1012.6184947083376,0
103402,2049,4981.31,1976,2739,ATM,Bangalore,desktop,0,1,1937.7233133436246,0
832052,48555,2480.93,1432,2348,POS,Chennai,mobile,1,0,3131.962171316044,0
265080,412,205.54,1058,2983,ATM,Chennai,mobile,0,1,2332.865100912412,0
671412,80038,76.19,1429,2225,POS,Mumbai,card_swipe,1,2,1740.992351564125,0
360735,28251,3722.77,1196,2194,ATM,Delhi,desktop,0,1,613.6066001072483,0
887352,11111,696.23,1273,2787,ATM,Mumbai,desktop,0,1,627.7987870454326,0
465962,23625,10876.359056544534,1902,2070,online,Kolkata,desktop,0,1,2146.6519861153115,0
446479,50993,11920.10351389917,1072,2526,online,Delhi,desktop,0,2,1480.0750714652356,0
969634,76539,8320.85,1283,2045,online,London,desktop,1,4,5723.2059892256475,1
717024,10729,4388.09,1225,2007,online,Bangalore,card_swipe,0,2,1971.3306159368917,0
728038,2869,2247.64,1331,2500,online,Chennai,mobile,0,0,614.7662646301468,0
823378,33828,4642.31,1205,2730,POS,Bangalore,desktop,0,2,3139.0699773441484,0
947272,59638,248.1,1882,2876,ATM,Delhi,mobile,1,1,529.5192125618286,0
189814,74290,4461.31,1749,2497,online,Delhi,card_swipe,1,1,2858.7949279359095,0
153045,61389,468.08,1667,2553,online,Chennai,mobile,1,1,1188.6523526225726,0
471507,80135,3852.27,1433,2420,POS,Kolkata,card_swipe,0,0,313.0067462489089,0
994343,23960,24015.9816382039,1270,2517,POS,Dubai,desktop,0,2,4829.179160694695,1
992697,44425,2123.12,1190,2070,ATM,Chennai,mobile,1,0,2044.818164473881,0
738551,32711,10997.889225491781,1203,2156,POS,Delhi,mobile,0,1,1078.0974175910194,0
858490,55766,147.81,1957,2903,ATM,Bangalore,card_swipe,0,2,1117.4932121532227,0
676510,56835,131.34,1169,2271,ATM,Chennai,card_swipe,0,1,640.5123466466978,0
987204,22700,6942.2,1052,2094,ATM,New York,desktop,1,5,2877.7305016499386,1
801474,70316,979.43,1497,2219,ATM,Bangalore,mobile,0,1,202.87483666861394,0
328275,69449,1041.35,1991,2059,ATM,Mumbai,card_swipe,0,1,658.3556510330986,0
757924,12688,8737.787677075743,1163,2811,ATM,Bangalore,desktop,0,1,3433.9989267046176,0
221035,15485,11325.248516083648,1911,2109,ATM,London,card_swipe,0,2,2337.1799143573644,1
595631,52921,2717.8,1248,2803,POS,Delhi,desktop,0,2,1555.8381035790665,0
163556,17019,3575.83,1412,2745,POS,Bangalore,mobile,0,1,1251.2786198038318,0
802258,35270,4784.44,1733,2321,online,Mumbai,desktop,0,1,1790.5662329410256,0
216970,30306,1150.46,1300,2445,online,Chennai,desktop,1,2,1533.6375514825547,0
883300,23664,748.95,1598,2438,ATM,Mumbai,desktop,0,1,1996.3417789247421,0
356787,82386,508.87,1228,2142,ATM,Bangalore,mobile,0,2,1179.4877377068954,0
573417,85314,855.77,1123,2253,online,Mumbai,mobile,0,1,2519.445616282803,0
356702,54268,2547.77,1167,2473,POS,Kolkata,desktop,0,0,898.0742576360519,0
809570,67221,291.49,1758,2913,ATM,Chennai,mobile,0,1,96.85180126074835,0
440035,22299,4649.19,1863,2786,online,Chennai,mobile,0,1,2039.3736776407143,0
580547,21545,7457.666045943002,1636,2576,online,Bangalore,mobile,0,0,276.02551604427083,0
417212,54693,23354.656779199107,1626,2826,ATM,Dubai,card_swipe,0,1,2198.9122319435314,1
853305,70588,2732.63,1498,2158,online,Delhi,desktop,0,1,1019.8105730141449,0
579434,11130,1071.51,1323,2951,online,Kolkata,mobile,1,0,2683.0580927860788,0
749468,14397,2487.84,1083,2429,ATM,Bangalore,card_swipe,1,1,894.0944447107511,0
738720,206,2143.43,1650,2175,ATM,Delhi,card_swipe,0,2,361.1166511035983,0
299659,70313,7482.763088755135,1096,2099,ATM,Delhi,desktop,0,0,382.42493532623035,0
272634,68385,1311.86,1388,2002,POS,Delhi,desktop,0,2,2909.023505896439,0
479201,48984,4934.57,1591,2196,ATM,Bangalore,mobile,0,2,1018.6740063341726,0
108203,57854,45846.22,1683,2836,ATM,New York,desktop,1,5,1674.5584004390605,1
804314,66235,4266.52,1665,2382,POS,Delhi,card_swipe,1,0,1222.6658365909598,0
