transaction_id,transaction_time,transaction_amount,customer_id,merchant_id,transaction_type,location,device_type,is_international,previous_fraud_count,avg_transaction_amount,fraud
688508,67435,2576.03,1203,2733,ATM,Kolkata,card_swipe,0,0,2593.83,0
361941,45543,4673.72,1895,2945,online,Kolkata,desktop,0,1,1598.42,0
246991,74740,300.39,1432,2187,POS,Delhi,desktop,0,0,1382.82,0
813328,11411,3229.41,1738,2117,ATM,Mumbai,card_swipe,0,0,1252.96,0
996865,26854,3258.87,1238,2887,online,Mumbai,desktop,1,0,1907.56,0
543692,18589,4770.1,1987,2216,ATM,Delhi,card_swipe,0,1,1173.46,0
590785,49811,1636.53,1541,2257,ATM,Bangalore,mobile,1,1,1585.07,0
391704,76552,89.67,1828,2890,online,Chennai,mobile,0,1,798.97,0
262998,30355,10346.81,1278,2288,ATM,Dubai,mobile,1,3,3421.45,1
774079,13545,1694.7,1469,2146,POS,Delhi,mobile,1,0,1037.29,0
835911,8110,3569.09,1959,2699,ATM,Bangalore,mobile,0,0,1727.7,0
697347,36208,3402.43,1252,2592,ATM,Delhi,mobile,1,0,790.88,0
380746,21976,1596.84,1067,2216,ATM,Delhi,card_swipe,0,0,761.01,0
156802,58335,2661.46,1689,2669,ATM,Chennai,mobile,1,0,1948.55,0
678856,12185,4826.62,1300,2849,ATM,Kolkata,card_swipe,0,0,959.19,0
961722,69163,2088.38,1032,2824,POS,Chennai,desktop,0,0,1040.6,0
719176,83104,1528.17,1432,2032,online,Delhi,mobile,0,0,1352.64,0
391476,52256,327.16,1464,2650,POS,Bangalore,mobile,1,1,1043.03,0
103402,2049,4981.31,1976,2739,ATM,Bangalore,desktop,0,1,1719.05,0
832052,48555,2480.93,1432,2348,POS,Chennai,mobile,1,0,2737.03,0
265080,412,205.54,1058,2983,ATM,Chennai,mobile,0,0,2905.98,0
671412,80038,76.19,1429,2225,POS,Mumbai,card_swipe,0,1,1733.54,0
360735,28251,3722.77,1196,2194,ATM,Delhi,desktop,0,0,634.57,0
887352,11111,696.23,1273,2787,ATM,Mumbai,desktop,0,0,706.31,0
465962,23625,4186.45,1902,2070,online,Kolkata,desktop,0,0,2531.59,0
446479,50993,4336.69,1072,2526,online,Delhi,desktop,0,1,1582.89,0
969634,76539,8320.85,1283,2045,online,London,desktop,1,3,4861.86,1
717024,10729,4388.09,1225,2007,online,Bangalore,card_swipe,0,1,2121.35,0
728038,2869,2247.64,1331,2500,online,Chennai,mobile,0,0,610.18,0
823378,33828,4642.31,1205,2730,POS,Bangalore,desktop,0,1,2903.3,0
947272,59638,248.1,1882,2876,ATM,Delhi,mobile,0,1,560.07,0
189814,74290,4461.31,1749,2497,online,Delhi,card_swipe,1,0,2404.95,0
153045,61389,468.08,1667,2553,online,Chennai,mobile,1,0,1003.1,0
471507,80135,3852.27,1433,2420,POS,Kolkata,card_swipe,0,0,347.51,0
994343,23960,44086.96,1270,2517,POS,Dubai,desktop,1,1,4834.5,1
992697,44425,2123.12,1190,2070,ATM,Chennai,mobile,1,0,2221.78,0
738551,32711,3928.85,1203,2156,POS,Delhi,mobile,0,0,1179.62,0
858490,55766,147.81,1957,2903,ATM,Bangalore,card_swipe,0,1,1371.57,0
676510,56835,131.34,1169,2271,ATM,Chennai,card_swipe,0,1,613.62,0
987204,22700,6942.2,1052,2094,ATM,New York,desktop,1,4,2874.65,1
801474,70316,979.43,1497,2219,ATM,Bangalore,mobile,0,1,247.23,0
328275,69449,1041.35,1991,2059,ATM,Mumbai,card_swipe,0,0,722.31,0
757924,12688,3643.8,1163,2811,ATM,Bangalore,desktop,0,1,2951.93,0
221035,15485,27168.13,1911,2109,ATM,London,card_swipe,1,2,2608.97,1
595631,52921,2717.8,1248,2803,POS,Delhi,desktop,0,1,1813.42,0
163556,17019,3575.83,1412,2745,POS,Bangalore,mobile,1,0,1256.58,0
802258,35270,4784.44,1733,2321,online,Mumbai,desktop,1,1,1499.31,0
216970,30306,1150.46,1300,2445,online,Chennai,desktop,0,1,1710.08,0
883300,23664,748.95,1598,2438,ATM,Mumbai,desktop,0,0,1867.74,0
356787,82386,508.87,1228,2142,ATM,Bangalore,mobile,1,1,1067.75,0
573417,85314,855.77,1123,2253,online,Mumbai,mobile,0,1,2814.85,0
356702,54268,2547.77,1167,2473,POS,Kolkata,desktop,0,0,822.95,0
809570,67221,291.49,1758,2913,ATM,Chennai,mobile,0,1,102.26,0
440035,22299,4649.19,1863,2786,online,Chennai,mobile,0,1,1936.87,0
580547,21545,4871.5,1636,2576,online,Bangalore,mobile,0,0,262.03,0
417212,54693,49398.78,1626,2826,ATM,Dubai,card_swipe,0,1,2167.89,1
853305,70588,2732.63,1498,2158,online,Delhi,desktop,0,1,1219.7,0
579434,11130,1071.51,1323,2951,online,Kolkata,mobile,0,0,2365.76,0
749468,14397,2487.84,1083,2429,ATM,Bangalore,card_swipe,0,1,963.14,0
738720,206,2143.43,1650,2175,ATM,Delhi,card_swipe,0,1,412.89,0
299659,70313,4114.78,1096,2099,ATM,Delhi,desktop,0,0,468.48,0
272634,68385,1311.86,1388,2002,POS,Delhi,desktop,0,1,2806.97,0
479201,48984,4934.57,1591,2196,ATM,Bangalore,mobile,0,1,951.12,0
108203,57854,45846.22,1683,2836,ATM,New York,desktop,1,4,2075.98,1
804314,66235,4266.52,1665,2382,POS,Delhi,card_swipe,1,0,1216.78,0
